Título,URL,Time Stamp,Fecha publicacion,,Imprescindible Residir,Funciones,Jornada,Experiencia,Tipo contrato,Salario,Alta Candidato,Acceso Empresas,Alta Empresa Gratis,Big Data,Idiomas,Formación Mínima,Nivel Profesional,CVs inscritos en el proceso,AdministradorProgramadorTécnico de Sistemas,Otras Provincias,AdministradorConsultor,Big DataInteligencia Artificial/Machine Learning,ComercialConsultor,Número de puestos,Incentivos,AdministradorRedesTécnico de Sistemas,Personas a cargo,Jefe de ProyectoTécnico de Gestión,Analista ProgramadorConsultorProgramador,Programador,Soporte Técnico,Consultor,Arquitecto TIC,Arquitecto TICDevOpsTécnico de Sistemas,Arquitecto TICDevOps,Técnico de Sistemas,Jefe de Equipo,+ Países,Info Otros Países,Diseño gráfico,Tester,Formador,AnalistaConsultor,Analista ProgramadorProgramador,HelpdeskTécnico Hardware,Analista,AnalistaBig Data,AnalistaAnalista ProgramadorProgramador,Analista ProgramadorInteligencia Artificial/Machine LearningProgramador,Analista ProgramadorBig DataIngenieros/Industria,Jefe de Proyecto,Jefe de EquipoJefe de Proyecto,RedesSoporte Técnico,AdministradorTécnico de Sistemas,HelpdeskRedesSoporte Técnico,Analista ProgramadorAnalista,Desarrollador MóvilProgramador,Ingenieros/Industria,CiberseguridadRedes,Jefe de EquipoProgramador,Arquitecto TICTécnico de Sistemas,Big DataConsultor,ElectrónicaProgramador,Ciberseguridad,ML GenIA,Salesforce,Tableau,Api First,LAN,Kibana,vmware,Api rest,microinformatica,Vue,network,javascript,spring,docker,sap,node.js,snowflake,Arquitectura distribuida hexagonal,colas,SonarSource,AsyncAPI,Appian,GCP,team management,SDK,ia,Oauth,data management,wifi,SAP TRM,Maven,doors,TestRail,postgresql,helpdesk,typo3,big data,azure,excel,sql server,TypeScript,marketing,soporte,etl,HyperV,Oracle,Java,symfony,software,Github,figma,salesforce,Scrum,SQL,api,AWS,One identity Safeguard,pmp,IA,Rust,TCP/IP,protobuf,Citrix,jenkins,redes,hp nonstop,data,scrum,iOS,CISSP,hana,UML,Duplo,aws,Mikrotik,SLA,SIEM,Python,HANA,VMWare,Node,lan,Terraform,scala,ESX,Inteligencia artificial,RTCP,.net,C++,copilot,HTML,pl/sql,Redes,OSS,ITIL,Typescript,QA,linux,Atlassian,Spring Framework,cloud,kubernetes,vpn,listas,mysql,PAM,OpenAPI,jira,Sonar,react native,kanban,gRPC,ongoing,HPE,gcp,Jira,git,Scala,Calypso,oracle,SAP,crm,typescript,arrays,Kubernetes,hashMaps sets.,sql,MOCKITO,Synapse,java,JavaScript,CI/CD,active directory,rest,SonarQube,DDD,estructura de datos,swagger,Mulesoft,BI,Windows,agile,itil,machine learning,chatgpt,OpenApi,Azure,UX,Databricks,ETL,HP Nonstop,JUnit,Kafka,dbt,ticketing,Datafactory,Swift,C,React,Spine 2D,php,WAN,fortinet,cisco,pilas,N8N,Mongodb,shadowbase,Linux,Spring,confluence,angular,AVD,react,ciberseguridad,CSS,j2ee,ci/cd,RDF,Jenkins,ASP NET MVC,formacion,KPI,c nist,api rest,windows,IAM,office 365,python,net,Microstrategy,Kanban,TACL,Spark,Liferay,Opentrack,avro,Javascript
Técnico de Soporte de Primer Nivel,https://www.tecnoempleo.com/tecnico-soporte-primer-nivel-digital-talent-agency/soporte-microinformatic/rf-ddac141d22631315bd45,2025-02-14 10:03:02,14/02/2025Nueva,Barcelona- España,,Soporte Técnico,Jornada completa,3 años,Indefinido,,No especificado,No especificado,No especificado,,,Grado Medio,Empleado,0,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAP TRM Consultant,https://www.tecnoempleo.com/sap-trm-consultant-plexus/sap-hana-sap-trm/rf-359b134ed2c1d3844746,2025-02-14 10:03:02,14/02/2025Nueva,100% En remoto,España,Consultor,Jornada completa,Más de 5 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salesforce Solutions Architect,https://www.tecnoempleo.com/salesforce-solutions-architect-plexus/salesforce/rf-47e815d6a26833620242,2025-02-14 10:03:03,14/02/2025Nueva,100% En remoto,España,Arquitecto TIC,Jornada completa,3 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI Consultant/Engineer,https://www.tecnoempleo.com/bi-consultant-engineer-plexus/bi-sql/rf-5ce519940287e31fc84b,2025-02-14 10:03:03,14/02/2025Nueva,100% En remoto,,Consultor,Jornada completa,3 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWS Architect,https://www.tecnoempleo.com/aws-architect-deloitte/aws/rf-0b271055d22d83dc584c,2025-02-14 10:03:03,14/02/2025Nueva,Madrid- España,,Arquitecto TIC,Jornada completa,2 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,1,,,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azure Architect,https://www.tecnoempleo.com/azure-architect-deloitte/azure-sql-ci-cd-terraform/rf-d2561486722533c2cf41,2025-02-14 10:03:03,14/02/2025Nueva,Madrid- España,,Arquitecto TIC,Jornada completa,3 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Site Reliability Engineer,https://www.tecnoempleo.com/senior-site-reliability-engineer-oracle/linux-terraform/rf-716d1266d2a0834a394a,2025-02-14 10:03:03,14/02/2025Nueva,Madrid- España,,Técnico de Sistemas,Jornada completa,Más de 5 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Manager of UX Research,https://www.tecnoempleo.com/senior-manager-of-ux-research-oracle/ux-agile/rf-b99d139c722f13285f4e,2025-02-14 10:03:04,14/02/2025Nueva,Barcelona- España,,Jefe de Equipo,Jornada completa,Más de 5 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principal Software Developer Java,https://www.tecnoempleo.com/principal-software-developer-java-madrid/java-net-c/rf-abbc13db122f43058844,2025-02-14 10:03:04,14/02/2025Nueva,Madrid- España,,Programador,Jornada completa,Más de 5 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Senior Applications Engineer,https://www.tecnoempleo.com/senior-applications-engineer-madrid/java-c/rf-ad3b12c2b23f13c20848,2025-02-14 10:03:04,14/02/2025Nueva,Madrid- España,,Programador,Jornada completa,3-5 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Principal Software Engineer,https://www.tecnoempleo.com/senior-principal-software-engineer-oracle/java-c/rf-16181ee8822dd35a214e,2025-02-14 10:03:04,14/02/2025Nueva,Madrid- España,,Programador,Jornada completa,Más de 10 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Service Ops Major Incident Manager,https://www.tecnoempleo.com/service-ops-major-incident-manager-aristocrat/itil-linux-windows-sql/rf-13451ce76231238e3543,2025-02-14 10:03:04,14/02/2025Nueva,Sofia -Bulgaria- Bulgaria,,Consultor,Jornada completa,3 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,,,No especificado,,,,,,España,España,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Animator,https://www.tecnoempleo.com/junior-animator-aristocrat/spine-2d/rf-f07f189e9210a3f2e948,2025-02-14 10:03:05,14/02/2025Nueva,Warsaw -Polonia- Polonia,,Diseño gráfico,Jornada completa,2 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,,,,,,,,,España,España,No especificado,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.Net Developer,https://www.tecnoempleo.com/net-developer-aristocrat/net-asp-net-mvc-javascript/rf-8dbc1d89223993bff54f,2025-02-14 10:03:05,14/02/2025Nueva,Bitola -Rep. De MacedoniaRep. De Macedonia,,Programador,Jornada completa,Más de 5 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,No especificado,,,,,,,,España,España,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QA engineer,https://www.tecnoempleo.com/qa-engineer-aristocrat/qa-testrail-typescript/rf-045112e0a208f3c6034f,2025-02-14 10:03:05,14/02/2025Nueva,Skopje -Rep. De MacedoniaRep. De Macedonia,,Tester,Jornada completa,3-5 años,Indefinido,,No especificado,No especificado,No especificado,,,,Empleado,0,,,,,,,,,,,,,,,,,,,,España,España,,No especificado,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formador/a en nuevas tecnologías,https://www.tecnoempleo.com/formador-en-nuevas-tecnologias-grupo-sermicro/formacion/rf-c03d1e3642c803677644,2025-02-14 10:03:05,14/02/2025Actualizada,Barcelona- España,Provincia Puesto,Formador,Jornada completa,2 años,Temporal,,No especificado,No especificado,No especificado,,Catalán (Alto),FP2/Grado Superior,Empleado,2,,,,,,,,,,,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formador/a en nuevas tecnologías,https://www.tecnoempleo.com/formador-en-nuevas-tecnologias-grupo-sermicro/formacion/rf-d5f01c8f529f131ba24e,2025-02-14 10:03:05,14/02/2025Actualizada,Barcelona- España,Provincia Puesto,Formador,Jornada completa,2 años,Temporal,,No especificado,No especificado,No especificado,,Catalán (Alto),FP2/Grado Superior,Empleado,5,,,,,,,,,,,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consultor SAP Ariba SLP,https://www.tecnoempleo.com/consultor-sap-ariba-slp-cas-training/sap-hana/rf-944d12b7520d63702c44,2025-02-14 10:03:06,14/02/2025Actualizada,100% En remoto,,Analista,Jornada completa,3-5 años,Indefinido,33.000 € - 42.000 € Bruto/año,No especificado,No especificado,No especificado,,,Licenciado,Especialista,5,,,,,,,,,,,,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Analista Programador/a Liferay,https://www.tecnoempleo.com/analista-programador-liferay-serem/liferay-java-javascript/rf-a0bb189a024bf387ca4b,2025-02-14 10:03:06,14/02/2025Actualizada,Arganda -Madrid(Híbrido),,Analista Programador,Jornada completa,2 años,Indefinido,,No especificado,No especificado,No especificado,,,FP2/Grado Superior,Empleado,23,,Guadalajara y Toledo,,,,,,,,,,,,,,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Consultor/a Microstrategy,https://www.tecnoempleo.com/consultor-microstrategy-serem/microstrategy/rf-9f7e156ce21cd3e27542,2025-02-14 10:03:06,14/02/2025Actualizada,Barcelona(Híbrido),España,Consultor,Jornada completa,3 años,Indefinido,,No especificado,No especificado,No especificado,,Inglés (Alto),FP2/Grado Superior,Empleado,9,,"Girona, Lleida, Tarragona y Zaragoza",,,,,,,,,,,,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
